way,node,x,y
160580410,1726343742,-0.1009823,51.5276715
160580410,1726343744,-0.1009125,51.5276863
160580410,1726343709,-0.1008634,51.5275961
160580410,1726343687,-0.1009332,51.5275814
160580410,1726343729,-0.1009516,51.5276151
160580410,1726343742,-0.1009823,51.5276715
160580414,1726343759,-0.1008646,51.5276964
160580414,1726343740,-0.1008399,51.527653
160580414,1726343713,-0.1008163,51.5276071
160580414,1726343709,-0.1008634,51.5275961
160580414,1726343744,-0.1009125,51.5276863
160580414,1726343759,-0.1008646,51.5276964
160580420,1726343740,-0.1008399,51.527653
160580420,1726343759,-0.1008646,51.5276964
160580420,1726343761,-0.1007551,51.5277195
160580420,1726343743,-0.1007314,51.5276746
160580420,1726343740,-0.1008399,51.527653
251642752,703524142,-0.1010897,51.5284174
251642752,703524129,-0.1007921,51.5278436
251642752,703524122,-0.1008508,51.5278333
23808030,258012246,-0.1028295,51.5274709
23808030,703524055,-0.1028871,51.527593
23808030,703524057,-0.1028489,51.5276044
23808030,703524058,-0.1028079,51.5276075
23808030,258012837,-0.1028228,51.5276391
23808030,703524072,-0.1022575,51.5277424
23808030,258012721,-0.1019824,51.5277926
23808030,703524092,-0.101986,51.5278001
23808030,703524096,-0.102005,51.5278404
23808030,258012839,-0.1020558,51.5279481
23808030,258012564,-0.1021803,51.5279254
23808030,703528108,-0.1022301,51.528031
23808030,258012563,-0.1022746,51.5281252
23808030,258012562,-0.1025362,51.5280775
23808030,703524074,-0.1024705,51.5279384
23808030,703524075,-0.1025161,51.52793
23808030,258012565,-0.1024829,51.5278598
23808030,258012838,-0.1028944,51.5277852
23808030,258012247,-0.1030026,51.5277643
23808030,258012244,-0.1032146,51.5277262
23808030,703524038,-0.1030768,51.5274341
23808030,703524039,-0.1030685,51.5274166
23808030,258012245,-0.1030655,51.5274102
23808030,703524054,-0.1028218,51.5274547
23808030,258012246,-0.1028295,51.5274709
201756812,2117688154,-0.1024658,51.5297587
201756812,1145270074,-0.1020297,51.5294821
201756812,26506910,-0.1019145,51.5294044
201756812,29525965,-0.1017853,51.5293146
201756812,1953036365,-0.1015498,51.5291495
201756812,10512858,-0.1012993,51.5289299
201756812,2632466124,-0.101097,51.5286181
201756812,2632466128,-0.1010715,51.5285802
201756812,108544,-0.1010241,51.528512
201756812,2632466119,-0.100975,51.5284275
201756812,2632466127,-0.1009523,51.5283857
201756812,1135297165,-0.1008474,51.5281924
201756812,25456106,-0.1006489,51.5278007
201756812,1239543251,-0.1006174,51.5277278
201756812,875799179,-0.1005153,51.5275153
201756812,701292592,-0.1004187,51.5273014
201756812,25456107,-0.100239,51.5268963
201756812,2632476610,-0.1001711,51.5266591
201756812,1623760909,-0.100157,51.5266209
201756812,110285,-0.1001059,51.5265119
201756812,1623760797,-0.1000613,51.5264165
201756812,2632476606,-0.1000443,51.5263792
201756812,198396,-0.099767,51.5257487
201756812,198397,-0.0996414,51.5254824
201756812,1623873051,-0.0996169,51.5254124
201756812,198398,-0.0994986,51.5251095
201756812,26374351,-0.0993147,51.524649
201756812,198399,-0.0991981,51.5243351
201756812,26374352,-0.0991528,51.5242092
201756812,110130,-0.099092,51.5240511
201756812,26374353,-0.0989889,51.5238322
201756812,381903937,-0.0987118,51.5234715
201756812,2632464411,-0.0986808,51.5234345
201756812,2632464412,-0.0986621,51.5234122
201756812,2632464425,-0.0986026,51.5233604
201756812,108417,-0.0985242,51.5233095
285590064,2892510150,-0.1006794,51.5282335
285590064,1135297165,-0.1008474,51.5281924
